id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
BJ000,B,J,695,731,8.33
IH001,I,H,1250,1293,8.33
GA002,G,A,463,497,8.33
EG003,E,G,1376,1410,8.33
EC004,E,C,540,583,8.33
CB005,C,B,1280,1314,8.33
HB006,H,B,1280,1313,8.33
JC007,J,C,1271,1286,8.33
EF008,E,F,231,271,8.33
AI009,A,I,573,613,8.33
FI010,F,I,472,513,8.33
CG011,C,G,1259,1321,8.33
DH012,D,H,912,976,8.33
FE013,F,E,1207,1247,8.33
FI014,F,I,146,187,8.33
FD015,F,D,910,980,8.33
HE016,H,E,200,234,8.33
CJ017,C,J,447,462,8.33
DG018,D,G,1342,1362,8.33
JD019,J,D,1254,1328,8.33
CB020,C,B,1226,1260,8.33
BC021,B,C,1071,1105,8.33
JC022,J,C,1380,1395,8.33
DI023,D,I,913,998,8.33
DE024,D,E,190,222,8.33
BF025,B,F,1333,1371,8.33
EJ026,E,J,711,762,8.33
FB027,F,B,1219,1257,8.33
DA028,D,A,1384,1434,8.33
HC029,H,C,1420,1435,8.33
AE030,A,E,639,681,8.33
BJ031,B,J,977,1013,8.33
EG032,E,G,540,574,8.33
AI033,A,I,361,401,8.33
FA034,F,A,48,97,8.33
EG035,E,G,674,708,8.33
BG036,B,G,1260,1289,8.33
FE037,F,E,758,798,8.33
GF038,G,F,911,977,8.33
JE039,J,E,284,335,8.33
HF040,H,F,561,569,8.33
CD041,C,D,285,355,8.33
AG042,A,G,816,850,8.33
DF043,D,F,133,203,8.33
HB044,H,B,432,465,8.33
FJ045,F,J,437,464,8.33
GI046,G,I,1063,1135,8.33
GA047,G,A,210,244,8.33
AE048,A,E,372,414,8.33
BI049,B,I,182,229,8.33
GE050,G,E,1144,1178,8.33
HI051,H,I,79,122,8.33
CH052,C,H,1115,1130,8.33
AH053,A,H,312,358,8.33
BH054,B,H,305,338,8.33
AD055,A,D,520,570,8.33
JG056,J,G,159,222,8.33
FI057,F,I,1042,1083,8.33
FD058,F,D,346,416,8.33
EC059,E,C,998,1041,8.33
