id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
HB000,H,B,15,48,8.33
BA001,B,A,1375,1395,8.33
BJ002,B,J,726,762,8.33
DA003,D,A,63,113,8.33
AF004,A,F,1327,1376,8.33
JH005,J,H,1261,1290,8.33
HC006,H,C,186,201,8.33
CB007,C,B,29,63,8.33
IH008,I,H,511,554,8.33
BI009,B,I,954,1001,8.33
BJ010,B,J,1054,1090,8.33
JA011,J,A,552,587,8.33
IB012,I,B,1320,1367,8.33
EH013,E,H,727,761,8.33
ED014,E,D,1342,1374,8.33
DH015,D,H,1085,1149,8.33
AI016,A,I,144,184,8.33
AF017,A,F,294,343,8.33
HG018,H,G,342,402,8.33
AB019,A,B,1203,1223,8.33
HC020,H,C,154,169,8.33
ID021,I,D,295,380,8.33
AF022,A,F,227,276,8.33
IC023,I,C,1373,1401,8.33
EH024,E,H,81,115,8.33
GE025,G,E,1356,1390,8.33
AC026,A,C,556,596,8.33
CE027,C,E,316,359,8.33
HA028,H,A,1153,1199,8.33
GF029,G,F,1015,1081,8.33
FH030,F,H,974,982,8.33
AH031,A,H,1218,1264,8.33
CH032,C,H,1063,1078,8.33
HE033,H,E,563,597,8.33
BC034,B,C,852,886,8.33
GB035,G,B,1085,1114,8.33
BH036,B,H,771,804,8.33
ED037,E,D,707,739,8.33
BC038,B,C,1188,1222,8.33
EC039,E,C,662,705,8.33
HB040,H,B,160,193,8.33
GD041,G,D,97,117,8.33
EA042,E,A,449,491,8.33
IB043,I,B,649,696,8.33
EH044,E,H,135,169,8.33
JE045,J,E,149,200,8.33
GD046,G,D,207,227,8.33
GD047,G,D,941,961,8.33
ID048,I,D,739,824,8.33
DI049,D,I,862,947,8.33
CD050,C,D,618,688,8.33
AF051,A,F,1094,1143,8.33
CH052,C,H,1124,1139,8.33
HF053,H,F,284,292,8.33
CA054,C,A,1278,1318,8.33
CJ055,C,J,1118,1133,8.33
BF056,B,F,350,388,8.33
AJ057,A,J,1307,1342,8.33
BC058,B,C,444,478,8.33
AG059,A,G,801,835,8.33
