N_simulacion,id_vuelo,aeropuerto_origen,aeropuerto_destino,hora_salida,hora_llegada_programada,hora_llegada_real,retraso_minutos
1,CJ033,C,J,00:33,00:48,00:48,0
1,IE037,I,E,00:08,01:12,01:12,0
1,IH044,I,H,01:39,02:22,02:22,0
1,AD020,A,D,02:59,03:49,03:49,0
1,CI024,C,I,03:27,03:55,03:55,0
1,FB040,F,B,03:25,04:03,04:03,0
1,DE013,D,E,05:30,06:02,06:02,0
1,HG001,H,G,05:05,06:05,06:05,0
1,GA028,G,A,05:43,06:17,06:17,0
1,EI054,E,I,05:15,06:19,06:19,0
1,BD059,B,D,06:07,06:46,06:46,0
1,CB052,C,B,06:18,06:52,06:52,0
1,EI050,E,I,06:02,07:06,07:06,0
1,CJ055,C,J,07:25,07:40,07:40,0
1,FG002,F,G,07:16,08:22,08:22,0
1,BA025,B,A,08:21,08:41,08:41,0
1,CF012,C,F,09:02,09:16,09:16,0
1,FI038,F,I,10:01,10:42,10:42,0
1,EG016,E,G,10:31,11:05,11:05,0
1,HC021,H,C,11:07,11:22,11:22,0
1,FA006,F,A,11:15,12:04,12:04,0
1,EH004,E,H,11:51,12:25,12:25,0
1,DF022,D,F,11:33,12:43,12:43,0
1,BH048,B,H,12:16,12:49,12:49,0
1,AB010,A,B,13:16,13:36,13:36,0
1,BG057,B,G,13:40,14:09,14:09,0
1,CJ039,C,J,14:11,14:26,14:26,0
1,DJ007,D,J,13:21,14:35,14:35,0
1,JB003,J,B,14:02,14:38,14:38,0
1,GE049,G,E,14:55,15:29,15:29,0
1,JC018,J,C,15:32,15:47,15:47,0
1,JF031,J,F,15:46,16:13,16:13,0
1,BJ036,B,J,15:45,16:21,16:21,0
1,EH058,E,H,15:52,16:26,16:26,0
1,DB051,D,B,15:57,16:36,16:36,0
1,AH017,A,H,15:55,16:41,16:41,0
1,FB034,F,B,16:34,17:12,17:12,0
1,AI035,A,I,13:56,14:36,17:38,182
1,EI015,E,I,16:29,17:33,17:50,17
1,EH056,E,H,17:19,17:53,17:53,0
1,IJ009,I,J,17:50,18:05,18:05,0
1,CB042,C,B,17:55,18:29,18:29,0
1,EF043,E,F,17:52,18:32,18:32,0
1,IE029,I,E,17:38,18:42,18:42,0
1,AJ008,A,J,18:12,18:47,18:47,0
1,GJ014,G,J,17:45,18:48,18:48,0
1,CG011,C,G,18:25,19:27,19:27,0
1,AH027,A,H,20:31,21:17,21:17,0
1,CA023,C,A,20:49,21:29,21:29,0
1,HB041,H,B,19:35,20:08,22:19,131
1,GI000,G,I,20:12,21:24,22:29,65
1,DE046,D,E,22:00,22:32,22:32,0
1,GE019,G,E,22:16,22:50,22:50,0
1,JH005,J,H,22:26,22:55,22:55,0
1,BF030,B,F,22:19,22:57,22:57,0
1,HG026,H,G,22:02,23:02,23:02,0
1,FA053,F,A,22:30,23:19,23:19,0
2,AI048,A,I,00:21,01:01,01:01,0
2,IF011,I,F,00:25,01:06,01:06,0
2,BH059,B,H,01:15,01:48,01:48,0
2,GF047,G,F,00:45,01:51,01:51,0
2,BA008,B,A,01:39,01:59,01:59,0
2,FI020,F,I,01:37,02:18,02:18,0
2,JD010,J,D,01:04,02:18,02:18,0
2,CD050,C,D,01:15,02:25,02:25,0
2,FI002,F,I,03:39,04:20,04:20,0
2,GF035,G,F,03:50,04:56,04:56,0
2,CF024,C,F,04:54,05:08,05:08,0
2,GE013,G,E,04:40,05:14,05:14,0
2,EA051,E,A,04:45,05:27,05:27,0
2,AE046,A,E,05:27,06:09,06:09,0
2,EB031,E,B,06:11,06:34,06:34,0
2,EA004,E,A,06:21,07:03,07:03,0
2,AB044,A,B,06:49,07:09,07:09,0
2,HF057,H,F,07:05,07:13,07:13,0
2,IF055,I,F,07:14,07:55,07:55,0
2,CJ037,C,J,08:09,08:24,08:24,0
2,DH042,D,H,07:21,08:25,08:25,0
2,EC033,E,C,08:08,08:51,08:51,0
2,CD038,C,D,08:39,09:49,09:49,0
2,AG009,A,G,09:46,10:20,10:20,0
2,AC028,A,C,09:51,10:31,10:31,0
2,GJ054,G,J,09:29,10:32,10:32,0
2,GA016,G,A,10:41,11:15,11:15,0
2,BG049,B,G,11:20,11:49,11:49,0
2,IJ043,I,J,11:41,11:56,11:56,0
2,BC029,B,C,11:51,12:25,12:25,0
2,AH036,A,H,12:01,12:47,12:47,0
2,BH025,B,H,12:20,12:53,12:53,0
2,DG015,D,G,12:46,13:06,13:06,0
2,AG058,A,G,13:22,13:56,13:56,0
2,EH040,E,H,13:45,14:19,14:19,0
2,CJ006,C,J,14:21,14:36,14:36,0
2,AJ056,A,J,14:36,15:11,15:11,0
2,BD045,B,D,14:39,15:18,15:18,0
2,JA007,J,A,14:57,15:32,15:32,0
2,GB021,G,B,15:09,15:38,15:38,0
2,HC030,H,C,17:08,17:23,17:23,0
2,HB019,H,B,17:31,18:04,18:04,0
2,HE001,H,E,17:37,18:11,18:11,0
2,JG032,J,G,19:18,20:21,20:21,0
2,BC041,B,C,17:18,17:52,20:43,171
2,CH034,C,H,20:43,20:58,20:58,0
2,IG003,I,G,19:56,21:08,21:08,0
2,CI052,C,I,21:11,21:39,21:39,0
2,EA039,E,A,21:11,21:53,21:53,0
2,AH005,A,H,21:15,22:01,22:01,0
2,AH026,A,H,21:55,22:41,22:41,0
2,JC022,J,C,22:38,22:53,22:53,0
2,EB017,E,B,22:32,22:55,22:55,0
2,EB053,E,B,22:33,22:56,22:56,0
2,EF012,E,F,22:35,23:15,23:15,0
2,EH027,E,H,22:49,23:23,23:23,0
2,IH000,I,H,22:44,23:27,23:27,0
3,AG059,A,G,00:35,01:09,01:09,0
3,HF058,H,F,01:22,01:30,01:30,0
3,BH054,B,H,02:23,02:56,02:56,0
3,EH013,E,H,02:29,03:03,03:03,0
3,EF026,E,F,02:34,03:14,03:14,0
3,ID032,I,D,02:11,03:36,03:36,0
3,CI037,C,I,03:16,03:44,03:44,0
3,GH038,G,H,03:19,04:19,04:19,0
3,EF044,E,F,04:00,04:40,04:40,0
3,BG041,B,G,05:14,05:43,05:43,0
3,CJ021,C,J,05:29,05:44,05:44,0
3,HI027,H,I,05:06,05:49,05:49,0
