N_simulacion,tipo,id_vuelo,origen,destino,minuto,retraso
1,salida,IE037,I,E,8,
1,salida,CJ033,C,J,33,
1,llegada,CJ033,C,J,48,0.0
1,llegada,IE037,I,E,72,0.0
1,salida,IH044,I,H,99,
1,llegada,IH044,I,H,142,0.0
1,salida,AD020,A,D,179,
1,salida,FB040,F,B,205,
1,salida,CI024,C,I,207,
1,llegada,AD020,A,D,229,0.0
1,llegada,CI024,C,I,235,0.0
1,llegada,FB040,F,B,243,0.0
1,salida,HG001,H,G,305,
1,salida,EI054,E,I,315,
1,salida,DE013,D,E,330,
1,salida,GA028,G,A,343,
1,salida,EI050,E,I,362,
1,llegada,DE013,D,E,362,0.0
1,llegada,HG001,H,G,365,0.0
1,salida,BD059,B,D,367,
1,llegada,GA028,G,A,377,0.0
1,salida,CB052,C,B,378,
1,llegada,EI054,E,I,379,0.0
1,llegada,BD059,B,D,406,0.0
1,llegada,CB052,C,B,412,0.0
1,llegada,EI050,E,I,426,0.0
1,salida,FG002,F,G,436,
1,salida,CJ055,C,J,445,
1,llegada,CJ055,C,J,460,0.0
1,salida,BA025,B,A,501,
1,llegada,FG002,F,G,502,0.0
1,llegada,BA025,B,A,521,0.0
1,salida,CF012,C,F,542,
1,llegada,CF012,C,F,556,0.0
1,salida,FI038,F,I,601,
1,salida,EG016,E,G,631,
1,llegada,FI038,F,I,642,0.0
1,llegada,EG016,E,G,665,0.0
1,salida,HC021,H,C,667,
1,salida,FA006,F,A,675,
1,llegada,HC021,H,C,682,0.0
1,salida,DF022,D,F,693,
1,salida,EH004,E,H,711,
1,llegada,FA006,F,A,724,0.0
1,salida,BH048,B,H,736,
1,llegada,EH004,E,H,745,0.0
1,llegada,DF022,D,F,763,0.0
1,llegada,BH048,B,H,769,0.0
1,salida,AB010,A,B,796,
1,salida,DJ007,D,J,801,
1,llegada,AB010,A,B,816,0.0
1,salida,BG057,B,G,820,
1,salida,AI035,A,I,836,
1,salida,JB003,J,B,842,
1,llegada,BG057,B,G,849,0.0
1,salida,CJ039,C,J,851,
1,llegada,CJ039,C,J,866,0.0
1,llegada,DJ007,D,J,875,0.0
1,cola_espera,AI035,,I,876,
1,llegada,JB003,J,B,878,0.0
1,salida,GE049,G,E,895,
1,llegada,GE049,G,E,929,0.0
1,salida,JC018,J,C,932,
1,salida,BJ036,B,J,945,
1,salida,JF031,J,F,946,
1,llegada,JC018,J,C,947,0.0
1,salida,EH058,E,H,952,
1,salida,AH017,A,H,955,
1,salida,DB051,D,B,957,
1,llegada,JF031,J,F,973,0.0
1,llegada,BJ036,B,J,981,0.0
1,llegada,EH058,E,H,986,0.0
1,salida,EI015,E,I,989,
1,salida,FB034,F,B,994,
1,llegada,DB051,D,B,996,0.0
1,llegada,AH017,A,H,1001,0.0
1,llegada,FB034,F,B,1032,0.0
1,salida,EH056,E,H,1039,
1,cola_espera,EI015,,I,1053,
1,salida,IE029,I,E,1058,
1,llegada,AI035,A,I,1058,182.0
1,salida,GJ014,G,J,1065,
1,salida,IJ009,I,J,1070,
1,llegada,EI015,E,I,1070,17.0
1,salida,EF043,E,F,1072,
1,llegada,EH056,E,H,1073,0.0
1,salida,CB042,C,B,1075,
1,llegada,IJ009,I,J,1085,0.0
1,salida,AJ008,A,J,1092,
1,salida,CG011,C,G,1105,
1,llegada,CB042,C,B,1109,0.0
1,llegada,EF043,E,F,1112,0.0
1,llegada,IE029,I,E,1122,0.0
1,llegada,AJ008,A,J,1127,0.0
1,llegada,GJ014,G,J,1128,0.0
1,llegada,CG011,C,G,1167,0.0
1,salida,HB041,H,B,1175,
1,cola_espera,HB041,,B,1208,
1,salida,GI000,G,I,1212,
1,salida,GB045,G,B,1225,
1,salida,AH027,A,H,1231,
1,salida,CA023,C,A,1249,
1,cola_espera,GB045,,B,1254,
1,llegada,AH027,A,H,1277,0.0
1,cola_espera,GI000,,I,1284,
1,llegada,CA023,C,A,1289,0.0
1,salida,DE046,D,E,1320,
1,salida,HG026,H,G,1322,
1,salida,GE019,G,E,1336,
1,salida,BF030,B,F,1339,
1,llegada,HB041,H,B,1339,131.0
1,salida,JH005,J,H,1346,
1,salida,IE047,I,E,1349,
1,llegada,GI000,G,I,1349,65.0
1,salida,FA053,F,A,1350,
1,llegada,DE046,D,E,1352,0.0
1,llegada,GE019,G,E,1370,0.0
1,llegada,JH005,J,H,1375,0.0
1,llegada,BF030,B,F,1377,0.0
1,llegada,HG026,H,G,1382,0.0
1,llegada,FA053,F,A,1399,0.0
1,salida,HB032,H,B,1401,
1,cola_espera,IE047,,E,1413,
1,cola_espera,HB032,,B,1434,
2,salida,AI048,A,I,21,
2,salida,IF011,I,F,25,
2,salida,GF047,G,F,45,
2,llegada,AI048,A,I,61,0.0
2,salida,JD010,J,D,64,
2,llegada,IF011,I,F,66,0.0
2,salida,CD050,C,D,75,
2,salida,BH059,B,H,75,
2,salida,FI020,F,I,97,
2,salida,BA008,B,A,99,
2,llegada,BH059,B,H,108,0.0
2,llegada,GF047,G,F,111,0.0
2,llegada,BA008,B,A,119,0.0
2,llegada,FI020,F,I,138,0.0
2,llegada,JD010,J,D,138,0.0
2,llegada,CD050,C,D,145,0.0
2,salida,FI002,F,I,219,
2,salida,GF035,G,F,230,
2,llegada,FI002,F,I,260,0.0
2,salida,GE013,G,E,280,
2,salida,EA051,E,A,285,
2,salida,CF024,C,F,294,
2,llegada,GF035,G,F,296,0.0
2,llegada,CF024,C,F,308,0.0
2,llegada,GE013,G,E,314,0.0
2,salida,AE046,A,E,327,
2,llegada,EA051,E,A,327,0.0
2,llegada,AE046,A,E,369,0.0
2,salida,EB031,E,B,371,
2,salida,EA004,E,A,381,
2,llegada,EB031,E,B,394,0.0
2,salida,AB044,A,B,409,
2,llegada,EA004,E,A,423,0.0
2,salida,HF057,H,F,425,
2,llegada,AB044,A,B,429,0.0
2,llegada,HF057,H,F,433,0.0
2,salida,IF055,I,F,434,
2,salida,DH042,D,H,441,
2,llegada,IF055,I,F,475,0.0
2,salida,EC033,E,C,488,
2,salida,CJ037,C,J,489,
2,llegada,CJ037,C,J,504,0.0
2,llegada,DH042,D,H,505,0.0
2,salida,CD038,C,D,519,
2,llegada,EC033,E,C,531,0.0
2,salida,GJ054,G,J,569,
2,salida,AG009,A,G,586,
2,llegada,CD038,C,D,589,0.0
2,salida,AC028,A,C,591,
2,llegada,AG009,A,G,620,0.0
2,llegada,AC028,A,C,631,0.0
2,llegada,GJ054,G,J,632,0.0
2,salida,GA016,G,A,641,
2,llegada,GA016,G,A,675,0.0
2,salida,BG049,B,G,680,
2,salida,IJ043,I,J,701,
2,llegada,BG049,B,G,709,0.0
2,salida,BC029,B,C,711,
2,llegada,IJ043,I,J,716,0.0
2,salida,AH036,A,H,721,
2,salida,BH025,B,H,740,
2,llegada,BC029,B,C,745,0.0
2,salida,DG015,D,G,766,
2,llegada,AH036,A,H,767,0.0
2,llegada,BH025,B,H,773,0.0
2,llegada,DG015,D,G,786,0.0
2,salida,AG058,A,G,802,
2,salida,EH040,E,H,825,
2,llegada,AG058,A,G,836,0.0
2,llegada,EH040,E,H,859,0.0
2,salida,CJ006,C,J,861,
2,salida,AJ056,A,J,876,
2,llegada,CJ006,C,J,876,0.0
2,salida,BD045,B,D,879,
2,salida,JA007,J,A,897,
2,salida,GB021,G,B,909,
2,llegada,AJ056,A,J,911,0.0
2,llegada,BD045,B,D,918,0.0
2,llegada,JA007,J,A,932,0.0
2,llegada,GB021,G,B,938,0.0
2,salida,HC030,H,C,1028,
2,salida,BC041,B,C,1038,
2,llegada,HC030,H,C,1043,0.0
2,salida,HB019,H,B,1051,
2,salida,HE001,H,E,1057,
2,cola_espera,BC041,,C,1072,
2,llegada,HB019,H,B,1084,0.0
2,llegada,HE001,H,E,1091,0.0
2,salida,JG032,J,G,1158,
2,salida,IG003,I,G,1196,
2,llegada,JG032,J,G,1221,0.0
2,salida,ED018,E,D,1224,
2,salida,CH034,C,H,1243,
2,llegada,BC041,B,C,1243,171.0
2,cola_espera,ED018,,D,1256,
2,llegada,CH034,C,H,1258,0.0
2,llegada,IG003,I,G,1268,0.0
2,salida,EA039,E,A,1271,
2,salida,CI052,C,I,1271,
2,salida,AH005,A,H,1275,
2,llegada,CI052,C,I,1299,0.0
2,llegada,EA039,E,A,1313,0.0
2,salida,AH026,A,H,1315,
2,llegada,AH005,A,H,1321,0.0
2,salida,IB014,I,B,1348,
2,salida,EB017,E,B,1352,
2,salida,FB023,F,B,1353,
2,salida,EB053,E,B,1353,
2,salida,EF012,E,F,1355,
2,salida,JC022,J,C,1358,
2,llegada,AH026,A,H,1361,0.0
2,salida,IH000,I,H,1364,
2,salida,EH027,E,H,1369,
2,llegada,JC022,J,C,1373,0.0
2,llegada,EB017,E,B,1375,0.0
2,llegada,EB053,E,B,1376,0.0
2,cola_espera,FB023,,B,1391,
2,llegada,EF012,E,F,1395,0.0
2,cola_espera,IB014,,B,1395,
2,llegada,EH027,E,H,1403,0.0
2,llegada,IH000,I,H,1407,0.0
3,salida,AG059,A,G,35,
3,llegada,AG059,A,G,69,0.0
3,salida,HF058,H,F,82,
3,llegada,HF058,H,F,90,0.0
3,salida,ID032,I,D,131,
3,salida,BH054,B,H,143,
3,salida,EH013,E,H,149,
3,salida,EF026,E,F,154,
3,llegada,BH054,B,H,176,0.0
3,llegada,EH013,E,H,183,0.0
3,llegada,EF026,E,F,194,0.0
3,salida,CI037,C,I,196,
3,salida,GH038,G,H,199,
3,llegada,ID032,I,D,216,0.0
3,llegada,CI037,C,I,224,0.0
3,salida,EF044,E,F,240,
3,llegada,GH038,G,H,259,0.0
3,llegada,EF044,E,F,280,0.0
3,salida,HG007,H,G,295,
3,salida,FG052,F,G,303,
3,salida,HI027,H,I,306,
3,salida,BG041,B,G,314,
3,salida,CJ021,C,J,329,
3,salida,AJ042,A,J,332,
3,llegada,BG041,B,G,343,0.0
3,llegada,CJ021,C,J,344,0.0
3,llegada,HI027,H,I,349,0.0
3,llegada,HG007,H,G,355,0.0
