year,Aeropuerto_Origen,Aeropuerto_Destino,Pasajeros,Pasajeros_Km,Pasajeros2,Pasajeros_Km2,Textbox108,Textbox109,Textbox110,Textbox111
2024,ABC : Albacete,ABC : Albacete,,,156,"60.336,11",48,"23.456,30",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,ACE : Lanzarote,,,156,"60.336,11",1.413.941,"1.494.048.627,62",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,AEI : Algeciras,,,156,"60.336,11",16.654,"480.845,61",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,AGP : Málaga,7,"3.067,99",156,"60.336,11",2.098.974,"1.754.561.223,82",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,ALC : Alicante,,,156,"60.336,11",1.291.972,"848.442.720,66",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,BCN : Barcelona-El Prat,6,"3.120,30",156,"60.336,11",7.142.092,"5.569.423.643,22",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,BIO : Bilbao,,,156,"60.336,11",1.954.995,"1.669.502.181,28",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,BJZ : Badajoz,8,"4.186,09",156,"60.336,11",43.076,"29.414.941,92",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,EAS : San Sebastián,9,"5.256,82",156,"60.336,11",238.891,"142.487.823,81",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,FUE : Fuerteventura,,,156,"60.336,11",932.093,"885.942.917,86",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,GMZ : Gomera (La),,,156,"60.336,11",60.095,"14.115.551,63",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,GRO : Girona,4,"2.445,72",156,"60.336,11",2.270,"1.712.199,21",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,GRX : Granada,,,156,"60.336,11",537.169,"420.025.112,26",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,HSK : Huesca,,,156,"60.336,11",118,"70.367,01",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,IBZ : Ibiza,2,"746,12",156,"60.336,11",1.903.001,"807.181.009,90",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,JCU : Ceuta,,,156,"60.336,11",39.118,"2.985.610,92",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,LCG : Coruña (A),,,156,"60.336,11",556.216,"410.174.935,53",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,LEI : Almería,,,156,"60.336,11",221.418,"123.066.504,15",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,LEN : León,,,156,"60.336,11",28.447,"26.092.762,94",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,LPA : Gran Canaria,,,156,"60.336,11",3.593.494,"4.263.271.504,96",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,MAD : Madrid-Barajas,105,"33.370,48",156,"60.336,11",8.752.037,"8.386.923.719,85",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,MAH : Menorca,2,"1.259,31",156,"60.336,11",1.064.255,"513.159.808,34",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,MCV : Madrid-Cuatro Vientos,,,156,"60.336,11",299,"159.606,92",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,MJV : Murcia,,,156,"60.336,11",4,"1.769,41",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,MLN : Melilla,,,156,"60.336,11",251.013,"108.059.236,43",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,ODB : Córdoba,,,156,"60.336,11",1.530,"1.336.851,23",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,OVD : Asturias,,,156,"60.336,11",771.801,"723.097.051,36",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,PMI : Palma de Mallorca,2,"992,29",156,"60.336,11",4.501.747,"2.407.324.685,98",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,PNA : Pamplona,,,156,"60.336,11",106.688,"74.363.578,32",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,QSA : Sabadell,,,156,"60.336,11",33,"20.361,66",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,REU : Reus,,,156,"60.336,11",1.114,"370.946,27",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,RGS : Burgos,,,156,"60.336,11",407,"264.585,88",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,RJL : Logroño,,,156,"60.336,11",7.525,"2.574.688,38",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,RMU : Región de Murcia,,,156,"60.336,11",57.873,"58.654.257,51",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,SBO : Son Bonet,,,156,"60.336,11",13,"4.932,84",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,SCQ : Santiago,2,"1.605,92",156,"60.336,11",1.408.668,"1.508.335.028,59",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,SDR : Santander,,,156,"60.336,11",277.487,"202.001.963,64",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,SLM : Salamanca,,,156,"60.336,11",7.305,"6.238.693,62",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,SPC : Palma (La),,,156,"60.336,11",631.188,"360.394.499,76",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,SVQ : Sevilla,3,"1.456,87",156,"60.336,11",2.236.848,"2.033.527.720,98",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,TFN : Tenerife-Norte,,,156,"60.336,11",3.369.608,"4.129.033.815,56",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,TFS : Tenerife-Sur,,,156,"60.336,11",592.012,"872.619.324,03",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,TOJ : Madrid-Torrejón,,,156,"60.336,11",0,"0,00",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VDE : Hierro (El),,,156,"60.336,11",159.509,"44.923.018,31",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VGO : Vigo,,,156,"60.336,11",504.867,"388.028.582,27",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VIT : Vitoria,,,156,"60.336,11",86.403,"62.189.933,34",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VLC : Valencia,,,156,"60.336,11",1.475.979,"979.622.964,43",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VLL : Valladolid,,,156,"60.336,11",82.771,"76.097.042,26",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,XRY : Jerez de la Frontera,3,"1.612,00",156,"60.336,11",285.115,"239.080.105,95",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,ZAZ : Zaragoza,3,"1.216,22",156,"60.336,11",129.948,"115.898.364,14",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ABC : Albacete,,,1.422.859,"1.506.179.236,52",48,"23.456,30",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ACE : Lanzarote,,,1.422.859,"1.506.179.236,52",1.413.941,"1.494.048.627,62",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,AEI : Algeciras,,,1.422.859,"1.506.179.236,52",16.654,"480.845,61",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,AGP : Málaga,42.610,"55.443.408,93",1.422.859,"1.506.179.236,52",2.098.974,"1.754.561.223,82",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ALC : Alicante,11.993,"21.163.638,16",1.422.859,"1.506.179.236,52",1.291.972,"848.442.720,66",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,BCN : Barcelona-El Prat,137.855,"285.039.242,38",1.422.859,"1.506.179.236,52",7.142.092,"5.569.423.643,22",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,BIO : Bilbao,62.979,"122.942.954,36",1.422.859,"1.506.179.236,52",1.954.995,"1.669.502.181,28",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,BJZ : Badajoz,,,1.422.859,"1.506.179.236,52",43.076,"29.414.941,92",48.838.129,"41.757.331.077,90"
