dia,minuto,aeropuerto,evento,ocupacion,capacidad
4,0.0,A1,ocupacion_inicial,4,11
4,0.0,A2,ocupacion_inicial,1,5
4,0.0,A4,ocupacion_inicial,2,5
4,0.0,A5,ocupacion_inicial,1,4
4,0.0,A6,ocupacion_inicial,1,5
4,0.0,A7,ocupacion_inicial,1,5
4,0.0,A8,ocupacion_inicial,1,9
4,0.0,A9,ocupacion_inicial,2,7
4,0.0,A10,ocupacion_inicial,1,4
4,0.0,A12,ocupacion_inicial,1,4
4,0.0,A13,ocupacion_inicial,1,9
4,0.0,A14,ocupacion_inicial,3,11
4,0.0,A15,ocupacion_inicial,3,11
4,0.0,A16,ocupacion_inicial,1,6
4,0.0,A17,ocupacion_inicial,1,5
4,0.0,A18,ocupacion_inicial,1,6
4,0.0,A20,ocupacion_inicial,1,4
4,0.0,A21,ocupacion_inicial,4,12
4,0.0,A22,ocupacion_inicial,1,11
4,0.0,A23,ocupacion_inicial,2,7
4,0.0,A24,ocupacion_inicial,1,5
4,0.0,A25,ocupacion_inicial,3,12
4,0.0,A26,ocupacion_inicial,1,11
4,0.0,A27,ocupacion_inicial,1,5
4,0.0,A28,ocupacion_inicial,1,5
4,0.0,A29,ocupacion_inicial,3,12
4,0.0,A30,ocupacion_inicial,1,4
4,0.0,A31,ocupacion_inicial,2,8
4,0.0,A32,ocupacion_inicial,2,12
4,0.0,A33,ocupacion_inicial,1,5
4,0.0,A34,ocupacion_inicial,3,8
4,0.0,A35,ocupacion_inicial,2,11
4,0.0,A36,ocupacion_inicial,2,9
4,0.0,A37,ocupacion_inicial,1,8
4,0.0,A38,ocupacion_inicial,1,7
4,0.0,A40,ocupacion_inicial,1,11
4,0.0,A41,ocupacion_inicial,2,12
4,0.0,A42,ocupacion_inicial,1,4
4,0.0,A43,ocupacion_inicial,1,12
4,0.0,A44,ocupacion_inicial,1,5
4,0.0,A46,ocupacion_inicial,2,9
4,0.0,A47,ocupacion_inicial,1,6
4,0.0,A48,ocupacion_inicial,4,11
4,90.0,A3,ext_llegada,1,4
4,90.0,A3,ext_llegada,2,4
4,94.0,A6,ext_llegada,2,5
4,100.0,A9,ext_llegada,3,7
4,101.0,A4,ext_llegada,3,5
4,101.0,A4,ext_llegada,4,5
4,101.0,A4,ext_llegada,5,5
4,102.0,A10,ext_llegada,2,4
4,102.0,A10,ext_llegada,3,4
4,104.0,A2,ext_llegada,2,5
4,104.0,A2,ext_llegada,3,5
4,114.0,A6,ext_salida,1,5
4,117.0,A3,ext_salida,1,4
4,117.0,A3,ext_salida,0,4
4,128.0,A2,ext_salida,2,5
4,128.0,A2,ext_salida,1,5
4,131.0,A9,ext_salida,2,7
4,140.0,A4,ext_salida,4,5
4,140.0,A4,ext_salida,3,5
4,140.0,A4,ext_salida,2,5
4,141.0,A10,ext_salida,2,4
4,141.0,A10,ext_salida,1,4
4,146.0,A1,ext_llegada,5,11
4,164.0,A5,ext_llegada,2,4
4,164.0,A5,ext_llegada,3,4
4,164.0,A5,ext_llegada,4,4
4,168.0,A1,ext_salida,4,11
4,175.0,A7,ext_llegada,2,5
4,178.0,A8,ext_llegada,2,9
4,178.0,A8,ext_llegada,3,9
4,178.0,A8,ext_llegada,4,9
4,200.0,A8,ext_salida,3,9
4,200.0,A8,ext_salida,2,9
4,200.0,A8,ext_salida,1,9
4,201.0,A5,ext_salida,3,4
4,201.0,A5,ext_salida,2,4
4,201.0,A5,ext_salida,1,4
4,214.0,A7,ext_salida,1,5
4,215.0,A6,ext_llegada,2,5
4,215.0,A6,ext_llegada,3,5
4,222.0,A9,ext_llegada,3,7
4,230.0,A3,ext_llegada,1,4
4,230.0,A3,ext_llegada,2,4
4,232.0,A2,ext_llegada,2,5
4,232.0,A2,ext_llegada,3,5
4,252.0,A6,ext_salida,2,5
4,252.0,A6,ext_salida,1,5
4,260.0,A2,ext_salida,2,5
4,260.0,A2,ext_salida,1,5
4,262.0,A9,ext_salida,2,7
4,265.0,A3,ext_salida,1,4
4,265.0,A3,ext_salida,0,4
4,293.0,A10,ext_llegada,2,4
4,293.0,A10,ext_llegada,3,4
4,293.0,A10,ext_llegada,4,4
4,294.0,A4,ext_llegada,3,5
4,294.0,A4,ext_llegada,4,5
4,294.0,A4,ext_llegada,5,5
4,309.0,A7,ext_llegada,2,5
4,313.0,A10,ext_salida,3,4
4,313.0,A10,ext_salida,2,4
4,313.0,A10,ext_salida,1,4
4,316.0,A4,ext_salida,4,5
4,316.0,A4,ext_salida,3,5
4,316.0,A4,ext_salida,2,5
4,317.0,A1,ext_llegada,5,11
4,317.0,A1,ext_llegada,6,11
4,339.0,A7,ext_salida,1,5
4,349.0,A1,ext_salida,5,11
4,349.0,A1,ext_salida,4,11
4,355.0,A8,ext_llegada,2,9
4,365.0,A5,ext_llegada,2,4
4,365.0,A5,ext_llegada,3,4
4,373.0,A6,ext_llegada,2,5
4,377.0,A9,ext_llegada,3,7
4,390.0,A5,ext_salida,2,4
4,390.0,A5,ext_salida,1,4
4,393.0,A8,ext_salida,1,9
4,401.0,A9,ext_salida,2,7
4,410.0,A6,ext_salida,1,5
4,413.0,A3,ext_llegada,1,4
4,421.0,A10,ext_llegada,2,4
4,421.0,A10,ext_llegada,3,4
4,433.0,A2,ext_llegada,2,5
4,433.0,A2,ext_llegada,3,5
4,442.0,A3,ext_salida,0,4
4,442.0,A10,ext_salida,2,4
4,442.0,A10,ext_salida,1,4
4,445.0,A1,ext_llegada,5,11
4,450.0,A7,ext_llegada,2,5
4,461.0,A2,ext_salida,2,5
4,461.0,A2,ext_salida,1,5
4,473.0,A1,ext_salida,4,11
4,479.0,A7,ext_salida,1,5
4,483.0,A5,ext_llegada,2,4
4,483.0,A5,ext_llegada,3,4
4,483.0,A5,ext_llegada,4,4
4,496.0,A4,ext_llegada,3,5
4,496.0,A4,ext_llegada,4,5
4,505.0,A9,ext_llegada,3,7
4,505.0,A9,ext_llegada,4,7
4,515.0,A5,ext_salida,3,4
4,515.0,A5,ext_salida,2,4
4,515.0,A5,ext_salida,1,4
4,527.0,A8,ext_llegada,2,9
4,527.0,A8,ext_llegada,3,9
4,531.0,A4,ext_salida,3,5
4,531.0,A4,ext_salida,2,5
4,537.0,A10,ext_llegada,2,4
4,537.0,A10,ext_llegada,3,4
4,537.0,A10,ext_llegada,4,4
4,543.0,A9,ext_salida,3,7
4,543.0,A9,ext_salida,2,7
4,548.0,A8,ext_salida,2,9
4,548.0,A8,ext_salida,1,9
4,562.0,A10,ext_salida,3,4
4,562.0,A10,ext_salida,2,4
4,562.0,A10,ext_salida,1,4
4,567.0,A6,ext_llegada,2,5
