dia,id_vuelo,fase,origen,destino_programado,destino_final,minuto_inicio,minuto_fin,duracion_min,distancia_km,velocidad_kmh,viento,combustible_consumido_l,nota
1,A37A1100072,rodaje,A37,A11,A11,372.0,377.79210369312335,5.792103693123352,4.0,41.43572227219244,neutro,148.6639947901664,
1,A8A4800052,rodaje,A8,A48,A48,372.0,378.5173131733313,6.517313173331274,4.0,36.82499116078637,neutro,167.27770478216885,
1,A26A3500145,rodaje,A26,A35,A35,389.0,393.19699039273013,4.196990392730129,4.0,57.18383354313125,neutro,107.72275341340631,
1,A24A700040,rodaje,A24,A7,A7,395.0,399.2502584532357,4.250258453235688,4.0,56.467154325001005,neutro,94.21406238005788,
1,A15A3100096,rodaje,A15,A31,A31,395.0,400.01296536760555,5.0129653676055455,4.0,47.87585438968146,neutro,111.12073231525669,
1,A41A900056,rodaje,A41,A9,A9,400.0,404.8374617620767,4.837461762076714,4.0,49.61279526413602,neutro,124.16151855996968,
1,A26A3500145,despegue,A26,A35,A35,393.19699039273013,405.93833223557135,12.741341842841223,61.323480343715495,288.7771842249274,a_favor,887.6468150512703,
1,A32A2600143,rodaje,A32,A26,A26,402.0,406.96293117472413,4.962931174724133,4.0,48.358518696028824,neutro,110.01164103971769,
1,A15A3100096,despegue,A15,A31,A31,400.01296536760555,408.5581622691221,8.545196901516533,39.64163777598138,278.3432955344492,a_favor,514.1360135745795,
1,A31A600030,rodaje,A31,A6,A6,405.0,409.92552535739367,4.925525357393667,4.0,48.725766813836245,neutro,109.18247875555905,
1,A24A700040,despegue,A24,A7,A7,399.2502584532357,411.87437205604584,12.624113602810155,53.99095559307942,256.60869646037236,en_contra,839.5035545868744,
1,A8A4800052,despegue,A8,A48,A48,378.5173131733313,414.3019083353957,35.78459516206442,144.83761130485456,242.8490985837362,en_contra,2755.413827478961,
1,A34A200008,rodaje,A34,A2,A2,411.0,416.56429741124333,5.564297411243331,4.0,43.132130125728196,neutro,123.34192594922723,
1,A31A600030,despegue,A31,A6,A6,409.92552535739367,417.327670167488,7.402144810094342,36.038198538821135,292.116942832643,neutro,468.802504639307,
1,A7A1400038,rodaje,A7,A14,A14,413.0,417.62718126157347,4.627181261573469,4.0,51.86742996067267,neutro,118.76431904705291,
1,A19EXTERIOR00057,rodaje,A19,EXTERIOR,EXTERIOR,414.0,418.4487515468079,4.448751546807898,4.0,53.94771937133814,neutro,114.18462303473655,
1,A32A2600143,despegue,A32,A26,A26,406.96293117472413,420.1102946504137,13.147363475689588,52.593641461222,240.0191105622262,en_contra,874.2996711333593,
1,A6A300009,rodaje,A6,A3,A3,419.0,423.1464718000906,4.1464718000905805,4.0,57.8805335164116,neutro,91.9134582353418,
1,A34A200008,despegue,A34,A2,A2,416.56429741124333,424.8189262620392,8.254628850795882,36.402272700140585,264.59534419864826,a_favor,496.653502522887,
1,A34A3900163,rodaje,A34,A39,A39,421.0,425.7247690624679,4.724769062467885,4.0,50.79613348861548,neutro,104.73238088470508,
1,A37A1100072,despegue,A37,A11,A11,377.79210369312335,426.3212023383212,48.52909864519785,189.33252121266702,234.0853547644479,en_contra,3736.740595680232,
1,A6A300009,despegue,A6,A3,A3,423.1464718000906,427.1349511356823,3.9884793355917054,20.405240721162414,306.962714422117,a_favor,239.97350669143296,
1,A34A700041,rodaje,A34,A7,A7,428.0,432.2518807804056,4.2518807804056,4.0,56.44560898932497,neutro,94.2500239656573,
1,A15A3100096,crucero,A15,A31,A31,408.5581622691221,434.46233402525957,25.904171756137487,381.55076359382076,883.7590343032374,a_favor,1230.4481584165296,
1,A34A3900163,despegue,A34,A39,A39,425.7247690624679,434.5579363950879,8.833167332620008,45.12796125991864,306.535308755663,a_favor,531.4622345126387,
1,A17A2600106,rodaje,A17,A26,A26,429.0,435.3419126689959,6.341912668995917,4.0,37.84347286478776,neutro,140.5790641627424,
1,A6A300009,crucero,A6,A3,A3,427.1349511356823,439.94378048943963,12.808829353757346,196.4004419411882,919.9924669942261,a_favor,608.4193943034745,
1,A34A700041,despegue,A34,A7,A7,432.2518807804056,440.2953564574093,8.043475677003698,37.831923954476096,282.2057936668163,a_favor,483.9491198997235,
1,A15A3100096,aproximacion,A15,A31,A31,434.46233402525957,441.9137696974365,7.451435672176956,49.55204721997673,399.0,a_favor,247.76023609988366,
1,A11A4500075,rodaje,A11,A45,A45,437.0,442.0780180134096,5.078018013409576,4.0,47.26253419468565,neutro,130.33579567751258,
1,A29A1400090,rodaje,A29,A14,A14,437.0,442.3916177328955,5.391617732895497,4.0,44.51354155464418,neutro,119.51419307918346,
1,A17EXTERIOR00083,rodaje,A17,EXTERIOR,EXTERIOR,439.0,443.3094724101389,4.309472410138881,4.0,55.691271960658554,neutro,110.60979186023168,
1,A42A3500166,rodaje,A42,A35,A35,438.0,443.6523086022274,5.652308602227379,4.0,42.46052664311796,neutro,145.07592079050247,
1,A3A3100016,rodaje,A3,A31,A31,437.0,443.8451717611922,6.845171761192205,4.0,35.06120932722954,neutro,151.73464070642697,
1,A6A300009,aproximacion,A6,A3,A3,439.94378048943963,443.94378048943963,4.0,25.506550901453018,399.0,a_favor,133.0,
1,A31A600030,crucero,A31,A6,A6,417.327670167488,444.0180253692315,26.6903552017435,346.8676609361534,779.7595610420987,en_contra,1401.243648091534,
1,A17A2600106,despegue,A17,A26,A26,435.3419126689959,446.0310426985398,10.68913002954389,43.27765618594376,242.92523002149503,en_contra,710.8271469646704,
