dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave,capacidad_combustible_l,combustible_restante_est_l,tiempo_total_min,tiempo_rodaje_min,tiempo_despegue_min,tiempo_crucero_min,tiempo_aproximacion_min,tiempo_aterrizaje_min,tiempo_espera_cola_min,dist_rodaje_km,dist_despegue_km,dist_crucero_km,dist_aproximacion_km,dist_aterrizaje_km,velocidad_crucero_kmh,velocidad_despegue_kmh,velocidad_aproximacion_kmh,velocidad_aterrizaje_kmh,viento_despegue,viento_crucero,viento_aproximacion,viento_aterrizaje,distancia_plan_km,distancia_ruta_km
26,LPATFN00173,LPA,TFN,TFN,False,False,36365.0,36392.427196317556,18.42719631755608,0.0,659.8203639780314,corto_radio,20000.0,19340.179636021967,27.42719631755608,4.347903312184969,2.0792930053720537,5.0,4.0,2.0,0.0,4.0,9.005246946019318,86.67550185543593,11.256558682524147,5.628279341262074,1076.2206263739138,259.85506389200737,380.0,321.58410599166353,en_contra,a_favor,neutro,a_favor,112.56558682524147,112.56558682524147
26,MAHBCN00588,MAH,BCN,BCN,False,False,36360.0,36395.545460629306,16.545460629306035,0.0,1111.7856054294011,corto_radio,20000.0,18888.214394570598,35.545460629306035,4.166873007760789,4.180503075463355,10.096463754711822,4.002402292619587,3.0992184987477907,0.0,4.0,19.26489636847561,185.42462754657777,24.081120460594516,12.040560230297258,1101.918248119558,276.49633578619495,361.0,233.1018655540833,en_contra,a_favor,en_contra,en_contra,240.81120460594514,240.81120460594514
26,IBZVLC00091,IBZ,VLC,VLC,False,False,36376.0,36409.892447391416,19.89244739141577,0.0,1120.2122413981701,corto_radio,20000.0,18879.78775860183,33.89244739141577,4.617817018040704,2.986680528986003,10.035027019848282,4.0,2.252922824543559,0.0,4.0,13.93092559029039,134.085158806545,17.41365698786299,8.706828493931495,801.7028267567467,279.8610455003039,361.0,231.88087223614932,neutro,en_contra,en_contra,en_contra,174.13656987862987,174.13656987862987
26,MADBCN00455,MAD,BCN,BCN,False,False,36363.0,36421.81000220243,21.81000220243004,0.0,2155.6333010137555,corto_radio,20000.0,17844.366698986243,58.81000220243004,5.375554610274663,8.627545341340271,19.672776819408398,8.065469142777022,6.14594137399798,0.0,4.0,38.82179147390006,373.65974293628807,48.52723934237508,24.26361967118754,1139.6248115852661,269.9849605278517,361.0,236.87456350144663,en_contra,a_favor,en_contra,en_contra,485.27239342375077,485.27239342375077
26,MADPMI00486,MAD,PMI,PMI,False,False,36360.0,36424.92477079787,22.924770797872043,0.0,2538.8711955370272,corto_radio,20000.0,17461.128804462973,64.92477079787204,4.652560140337158,11.054739967051741,23.147862015123163,9.115528888597414,6.9540797867620245,0.0,4.0,43.87607905044889,422.3072608605705,54.845098813061114,27.422549406530557,1094.6339508624988,238.13900199129048,361.0,236.6025433766193,en_contra,a_favor,en_contra,en_contra,548.4509881306111,548.4509881306111
26,EASMAD00339,EAS,MAD,MAD,False,False,36377.0,36429.26960341927,25.269603419270425,0.0,2137.158186041719,corto_radio,20000.0,17862.84181395828,52.269603419270425,5.883836352194564,6.137838850842002,19.838537578445163,5.831795373407537,4.577595264385028,0.0,4.0,28.070375064001613,270.1773599910155,35.08796883000202,17.54398441500101,817.1288601975385,274.3999223128922,361.0,229.95459495728835,en_contra,en_contra,en_contra,en_contra,350.8796883000202,350.8796883000202
26,MADSVQ00516,MAD,SVQ,SVQ,False,False,36382.0,36430.1118444334,18.1118444333988,0.0,1630.1834514564075,corto_radio,20000.0,18369.816548543593,48.1118444333988,5.069371979653851,7.339075967713175,17.145643984278223,4.809795657873163,3.7479568438796607,0.0,4.0,31.680520733191237,304.92501205696567,39.60065091648905,19.800325458244526,1067.0640741283373,259.0014400114958,494.0,316.97791009378454,en_contra,a_favor,a_favor,a_favor,396.0065091648905,396.0065091648905
26,BCNSVQ00639,BCN,SVQ,SVQ,False,False,36360.0,36440.18111253268,19.181112532678526,0.0,3563.7283367235,medio_radio,32000.0,28436.2716632765,80.18111253267853,5.770910628109741,14.214957148643537,30.751697569852887,9.851184722556996,7.754525730037971,0.0,4.0,64.88647003924206,624.5322741277048,81.10808754905258,40.55404377452629,1218.532289560415,273.8797002090176,494.0,313.78355184845884,en_contra,a_favor,a_favor,a_favor,811.0808754905257,811.0808754905257
26,BCNIBZ00053,BCN,IBZ,IBZ,False,False,36403.0,36443.94418980612,19.94418980611954,0.0,1269.6449786718326,corto_radio,20000.0,18730.355021328167,40.94418980611954,6.642934834240802,5.477064584886605,11.417829649154495,4.0,3.4063607378434546,0.0,4.0,22.055895664870096,212.28799577437468,27.56986958108762,13.78493479054381,1115.5604994864932,241.61733340590212,494.0,242.80930620291787,en_contra,a_favor,a_favor,neutro,275.6986958108762,275.6986958108762
26,BCNLCG00398,BCN,LCG,LCG,False,False,36360.0,36444.8803557026,17.880355702596717,0.0,3955.3216322837916,medio_radio,32000.0,28044.67836771621,84.88035570259672,4.608747361586668,15.72299582146335,35.42474644162609,10.814548099461934,8.309317978458253,0.0,4.0,71.23182348178928,685.6063010122217,89.0397793522366,44.5198896761183,1161.2328158373414,271.8253860420845,494.0,321.4696305391267,en_contra,a_favor,a_favor,a_favor,890.3977935223659,890.3977935223659
26,SVQBCN00640,SVQ,BCN,BCN,False,False,36364.0,36447.39863902434,22.39863902433717,0.0,3662.1353140816764,medio_radio,32000.0,28337.864685918325,83.39863902433717,6.774317082667358,10.464583580021685,32.00728924255195,13.480568567709572,10.67188055138836,0.0,4.0,64.88647003924206,624.5322741277048,81.10808754905258,40.55404377452629,1170.731334468818,372.0346990000777,361.0,228.0050469788124,a_favor,a_favor,en_contra,en_contra,811.0808754905257,811.0808754905257
26,TFSSPC00148,TFS,SPC,SPC,False,False,36418.0,36447.79823462395,19.79823462395143,0.0,860.8076604396023,corto_radio,20000.0,19139.1923395604,29.79823462395143,4.125212182199372,2.0,7.673022441753904,4.0,2.0,0.0,4.0,10.562956179663004,101.66845322925641,13.203695224578755,6.601847612289378,795.0070835920843,334.40872950212326,361.0,316.4706151379132,a_favor,en_contra,en_contra,a_favor,132.03695224578755,132.03695224578755
26,PMISVQ00679,PMI,SVQ,SVQ,False,False,36361.0,36448.49984667336,27.49984667335957,0.0,4402.184474852575,medio_radio,32000.0,27597.815525147424,87.49984667335957,5.923468230357035,14.455694919187927,40.158677035096446,9.581596471055702,7.292554569200645,0.0,4.0,63.11078208935356,607.441277610028,78.88847761169195,39.44423880584598,907.561686475615,261.9484532933084,494.0,324.5302185802051,en_contra,neutro,a_favor,a_favor,788.8847761169195,788.8847761169195
26,BCNPMI00594,BCN,PMI,PMI,False,False,36415.0,36450.863240690276,19.863240690276143,0.0,1025.403314020226,corto_radio,20000.0,18974.596685979774,35.86324069027614,6.052137368467235,3.8286331176505533,8.197457987274664,4.0,2.559093809303861,0.0,4.0,16.123643274483953,155.19006651690805,20.154554093104945,10.077277046552473,1135.8891994895312,252.67989037891812,361.0,236.2698157429504,en_contra,a_favor,en_contra,en_contra,201.54554093104943,201.54554093104943
26,PMIVLC00690,PMI,VLC,VLC,False,False,36407.0,36451.36017250357,23.36017250356963,0.0,1587.9674240928339,corto_radio,20000.0,18412.032575907167,44.36017250356963,5.949177145812632,5.050031157823636,15.179957502748781,4.592023261027473,3.588983436158283,0.0,4.0,22.10293862974557,212.74078431130107,27.62867328718196,13.81433664359098,840.8750193382742,262.6075515851399,361.0,230.9456739936049,en_contra,neutro,en_contra,en_contra,276.2867328718196,276.2867328718196
26,LPAACE00099,LPA,ACE,ACE,False,False,36420.0,36452.43759295855,16.43759295855125,0.0,899.7530064493051,corto_radio,20000.0,19100.246993550696,32.43759295855125,4.184934355069976,3.6839358188982976,8.47467379063909,4.0,2.0,0.0,4.0,16.637196228879173,160.13301370296205,20.796495286098967,10.398247643049483,1133.7286908660078,270.9688286673999,494.0,322.0156655777131,en_contra,a_favor,a_favor,a_favor,207.96495286098965,207.96495286098965
26,IBZBCN00064,IBZ,BCN,BCN,False,False,36414.0,36458.753556203694,23.753556203693734,0.0,1683.6773854658918,corto_radio,20000.0,18316.322614534107,44.75355620369373,5.738504787963095,5.0348838570632335,15.791080626989608,4.5822497918705185,3.606837139809877,0.0,4.0,22.055895664870096,212.28799577437468,27.56986958108762,13.78493479054381,806.6122925553512,262.83699435007355,361.0,229.31339990477815,neutro,en_contra,en_contra,en_contra,275.6986958108762,275.6986958108762
26,AGPMAD00422,AGP,MAD,MAD,False,False,36408.0,36462.509353892274,21.509353892273793,0.0,1985.3913112395921,corto_radio,20000.0,18014.608688760407,54.50935389227379,4.417377367743666,8.219874018750017,18.269345731579957,7.165032006685488,5.564030394063988,0.0,4.0,34.48768739217948,331.9439911497275,43.10960924022435,21.554804620112176,1090.1670898129767,251.73880266420898,361.0,232.4373135320183,en_contra,a_favor,en_contra,en_contra,431.09609240224347,431.09609240224347
26,TFSACE00128,TFS,ACE,ACE,False,False,36427.0,36471.17934337835,20.179343378353224,0.0,1560.1380084138575,corto_radio,20000.0,18439.86199158614,44.179343378353224,5.600674052249253,4.442314289565451,17.253642714615914,4.0,2.8827123219152124,0.0,4.0,24.610100429445943,236.8722166334172,30.76262553680743,15.381312768403715,823.7294137292802,332.39566800466037,494.0,320.1425126913399,a_favor,en_contra,a_favor,a_favor,307.6262553680743,307.6262553680743
26,IBZMAD00069,IBZ,MAD,MAD,False,False,36406.0,36471.5643903953,30.564390395302325,0.0,2743.9625022152227,corto_radio,20000.0,17256.03749778478,65.56439039530233,5.9376695749531265,8.492874287733546,26.48004770946873,7.660401155926996,6.05039085532397,0.0,4.0,36.87206423052861,354.8936182188378,46.090080288160756,23.045040144080378,804.1381694911411,260.4917697918862,361.0,228.53108860366103,neutro,en_contra,en_contra,en_contra,460.90080288160755,460.90080288160755
26,SPCLPA00130,SPC,LPA,LPA,False,False,36436.0,36472.47270250651,17.47270250650763,0.0,1104.6379699811841,corto_radio,20000.0,18895.362030018816,36.47270250650763,4.685195854490656,4.37585544271939,10.14503229353945,4.063346419964001,3.2032724957872185,0.0,4.0,19.558240768093388,188.24806739289886,24.447800960116737,12.223900480058369,1113.3413592746008,268.17486579408836,361.0,228.9639828544332,neutro,a_favor,en_contra,en_contra,244.47800960116734,244.47800960116734
26,LPAFUE00265,LPA,FUE,FUE,False,False,36446.0,36476.092507924135,17.092507924135134,0.0,785.9138078558717,corto_radio,20000.0,19214.08619214413,30.092507924135134,4.399331443625733,3.2286360582515736,6.4645404222630205,4.0,2.0,0.0,4.0,12.803501400051557,123.23370097549623,16.00437675006445,8.002188375032224,1143.7815491207607,237.93641343989316,494.0,323.9067779985946,en_contra,a_favor,a_favor,a_favor,160.04376750064446,160.04376750064446
26,PMIMAD00493,PMI,MAD,MAD,False,False,36408.0,36481.59280639994,31.592806399938127,0.0,2948.4963484640834,corto_radio,20000.0,17051.503651535917,73.59280639993813,5.229586796902879,9.61794959351489,29.6048899705136,9.115528888597414,7.0788068599588225,0.0,4.0,43.87607905044889,422.3072608605705,54.845098813061114,27.422549406530557,855.8868375079675,273.713718025929,361.0,232.4336568212859,en_contra,neutro,en_contra,en_contra,548.4509881306111,548.4509881306111
26,SPCTFS00149,SPC,TFS,TFS,False,False,36454.0,36485.168288745175,21.168288745175232,0.0,648.6765288036108,corto_radio,20000.0,19351.32347119639,31.168288745175232,4.7984722806776094,2.1350078143473477,5.378664274664904,4.0,2.0,0.0,4.0,10.562956179663004,101.66845322925641,13.203695224578755,6.601847612289378,1134.1304982518968,296.85014102560564,494.0,313.7792425998975,neutro,a_favor,a_favor,a_favor,132.03695224578755,132.03695224578755
26,ALCMAD00429,ALC,MAD,MAD,False,False,36432.0,36485.38765784641,26.387657846411457,0.0,1876.3060375489679,corto_radio,20000.0,18123.69396245103,53.38765784641146,4.233142226530882,5.792435729257663,19.77227066700611,5.9310248094524525,4.67776000191589,0.0,4.0,28.547999416164465,274.77449438058295,35.68499927020559,17.842499635102794,833.8177208116954,295.70979205139736,361.0,228.85953483455714,neutro,neutro,en_contra,en_contra,356.84999270205583,356.84999270205583
